StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q5,1_Q9,1_Q10,1_Q11_1,1_Q11_2,2_Q9,2_Q10,2_Q11_1,2_Q11_2,3_Q9,3_Q10,3_Q11_1,3_Q11_2,4_Q9,4_Q10,4_Q11_1,4_Q11_2,5_Q9,5_Q10,5_Q11_1,5_Q11_2,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q20_10_TEXT,Q21,Q22,Q23,Q24,Q25,Q26,Q28,IP_block,IP_country,choice1_popsize1,choice1_popsize2,choice1__racethndemo1,choice1__racethndemo2,choice1_politics1,choice1_politics2,choice1_housingprice1,choice1_housingprice2,choice1_weather1,choice1_weather2,choice1_distfamily1,choice1_distfamily2,choice1_crime1,choice1_crime2,choice2_popsize1,choice2_popsize2,choice2__racethndemo1,choice2__racethndemo2,choice2_politics1,choice2_politics2,choice2_housingprice1,choice2_housingprice2,choice2_weather1,choice2_weather2,choice2_distfamily1,choice2_distfamily2,choice2_crime1,choice2_crime2,choice3_popsize1,choice3_popsize2,choice3__racethndemo1,choice3__racethndemo2,choice3_politics1,choice3_politics2,choice3_housingprice1,choice3_housingprice2,choice3_weather1,choice3_weather2,choice3_distfamily1,choice3_distfamily2,choice3_crime1,choice3_crime2,choice4_popsize1,choice4_popsize2,choice4__racethndemo1,choice4__racethndemo2,choice4_politics1,choice4_politics2,choice4_housingprice1,choice4_housingprice2,choice4_weather1,choice4_weather2,choice4_distfamily1,choice4_distfamily2,choice4_crime1,choice4_crime2,choice5_popsize1,choice5_popsize2,choice5__racethndemo1,choice5__racethndemo2,choice5_politics1,choice5_politics2,choice5_housingprice1,choice5_housingprice2,choice5_weather1,choice5_weather2,choice5_distfamily1,choice5_distfamily2,choice5_crime1,choice5_crime2,Random_ID
2022-01-02 15:51:59,2022-01-02 15:55:58,IP Address,172.58.4.205,100,238,True,2022-01-02 15:55:58,R_3hhyba6zTnlF6II,,,,,33.8513031005859375,-84.2870025634765625,anonymous,EN,I wish to participate,,City 2,City 2,5,10,City 2,City 2,6,10,City 2,City 2,5,10,City 2,City 2,6,10,City 2,City 2,5,8,11,lobster,Very Interested,Female,39,Far Above Average,Black,In a relationship,Bachelor's degree,,"$20,000-$29,999",Very Positive,Very Positive,Very Negative,Strong Democrat,Very Liberal,"High net income, low crime rate.  I prefer upper middle class suburbs.",0,United States,"1,000,000","1,000,000",,,80% Republicans & 20% Democrats,80% Republicans & 20% Democrats,below national average,national average,Snowy,Cloudy,10+ hour drive,0-2.9 hour drive,national average,below national average,"1,000,000","500,000",,,50% Republicans & 50% Democrats,80% Republicans & 20% Democrats,national average,above national average,Snowy,Cloudy,10+ hour drive,0-2.9 hour drive,national average,above national average,"500,000","100,000",,,50% Republicans & 50% Democrats,80% Republicans & 20% Democrats,below national average,above national average,Cloudy,Snowy,10+ hour drive,6-9.9 hour drive,above national average,national average,"50,000","50,000",,,80% Republicans & 20% Democrats,80% Republicans & 20% Democrats,national average,above national average,Sunny,Sunny,0-2.9 hour drive,0-2.9 hour drive,above national average,above national average,"50,000","500,000",,,20% Republicans & 80% Democrats,80% Republicans & 20% Democrats,above national average,national average,Cloudy,Sunny,3-5.9 hour drive,3-5.9 hour drive,below national average,national average,95208
2022-01-02 15:52:44,2022-01-02 15:57:44,IP Address,138.207.135.192,100,300,True,2022-01-02 15:57:45,R_3qEx4Vt3RXV1PM0,,,,,40.101104736328125,-80.06549835205078125,anonymous,EN,I wish to participate,,City 2,City 1,8,3,City 1,City 2,5,7,City 1,City 1,7,6,City 1,City 2,5,8,City 1,City 2,5,7,11,lobster,Very Interested,Male,56,Above Average,White,In a relationship,Some college but no degree,,"$30,000-$39,999",Somewhat Positive,Positive,Negative,Strong Democrat,Liberal,"I like a city close to my family, one that is politically liberal, and a city with nice weather.",0,United States,"1,000,000","50,000",,,20% Republicans & 80% Democrats,50% Republicans & 50% Democrats,national average,national average,Rainy,Cloudy,10+ hour drive,0-2.9 hour drive,below national average,below national average,"50,000","1,000,000",,,20% Republicans & 80% Democrats,20% Republicans & 80% Democrats,above national average,above national average,Sunny,Snowy,6-9.9 hour drive,10+ hour drive,below national average,below national average,"1,000,000","500,000",,,80% Republicans & 20% Democrats,50% Republicans & 50% Democrats,below national average,above national average,Snowy,Snowy,3-5.9 hour drive,3-5.9 hour drive,national average,above national average,"50,000","1,000,000",,,50% Republicans & 50% Democrats,80% Republicans & 20% Democrats,national average,national average,Rainy,Snowy,0-2.9 hour drive,6-9.9 hour drive,below national average,above national average,"50,000","1,000,000",,,80% Republicans & 20% Democrats,50% Republicans & 50% Democrats,below national average,national average,Sunny,Snowy,0-2.9 hour drive,3-5.9 hour drive,above national average,national average,74351
2022-01-02 15:52:19,2022-01-02 16:00:48,IP Address,73.53.159.133,100,508,True,2022-01-02 16:00:49,R_RIEQAN2jpMcPZLP,,,,,30.351104736328125,-81.5059967041015625,anonymous,EN,I wish to participate,,City 1,City 1,5,7,City 1,City 1,5,8,City 2,City 1,5,5,City 2,City 1,5,7,City 2,City 2,3,6,11,lobster,Very Interested,Male,46,Average,White,Married,Bachelor's degree,,Prefer not to say,Somewhat Positive,Positive,Very Negative,Independent/Other,Liberal,"Climate (preferably warm), proximity to the ocean, cost of living, crime rate, how good the art and music and food scenes are, nightlife, region of the country.",0,United States,"1,000,000","50,000",,,80% Republicans & 20% Democrats,50% Republicans & 50% Democrats,below national average,national average,Cloudy,Rainy,3-5.9 hour drive,6-9.9 hour drive,national average,above national average,"100,000","100,000",,,80% Republicans & 20% Democrats,20% Republicans & 80% Democrats,below national average,above national average,Rainy,Rainy,6-9.9 hour drive,10+ hour drive,below national average,above national average,"100,000","50,000",,,20% Republicans & 80% Democrats,20% Republicans & 80% Democrats,above national average,above national average,Sunny,Sunny,3-5.9 hour drive,0-2.9 hour drive,above national average,above national average,"500,000","100,000",,,20% Republicans & 80% Democrats,20% Republicans & 80% Democrats,national average,below national average,Snowy,Snowy,10+ hour drive,0-2.9 hour drive,national average,national average,"500,000","500,000",,,80% Republicans & 20% Democrats,50% Republicans & 50% Democrats,above national average,above national average,Rainy,Cloudy,3-5.9 hour drive,3-5.9 hour drive,below national average,below national average,86787
2022-01-02 16:01:59,2022-01-02 16:07:53,IP Address,98.127.137.72,100,353,True,2022-01-02 16:07:53,R_2ZCao32ADs1082l,,,,,46.609893798828125,-112.0243988037109375,anonymous,EN,I wish to participate,,City 1,City 2,1,3,City 2,City 1,1,4,City 2,City 1,1,4,City 2,City 2,1,4,City 2,City 2,1,2,11,lobster,Not At All Interested,Male,49,Far Below Average,White,Been single for more than 2 years,High school diploma or equivalent,,"$10,000-$19,999",Neutral,Very Negative,Negative,Independent/Other,Somewhat Conservative,"small, non liberal, cooler temperatures, not near major(huge) metro areas",0,United States,"100,000","1,000,000",,,50% Republicans & 50% Democrats,80% Republicans & 20% Democrats,above national average,above national average,Sunny,Rainy,6-9.9 hour drive,0-2.9 hour drive,national average,below national average,"500,000","500,000",,,20% Republicans & 80% Democrats,50% Republicans & 50% Democrats,above national average,below national average,Snowy,Rainy,3-5.9 hour drive,6-9.9 hour drive,below national average,national average,"500,000","50,000",,,80% Republicans & 20% Democrats,20% Republicans & 80% Democrats,national average,national average,Sunny,Sunny,10+ hour drive,6-9.9 hour drive,below national average,below national average,"100,000","50,000",,,20% Republicans & 80% Democrats,50% Republicans & 50% Democrats,national average,below national average,Sunny,Snowy,0-2.9 hour drive,6-9.9 hour drive,above national average,national average,"500,000","1,000,000",,,20% Republicans & 80% Democrats,80% Republicans & 20% Democrats,national average,national average,Sunny,Sunny,6-9.9 hour drive,3-5.9 hour drive,above national average,national average,76838
2022-01-02 16:06:51,2022-01-02 16:18:45,IP Address,74.79.209.255,100,714,True,2022-01-02 16:18:46,R_2uBvE2ffNeuFg68,,,,,42.928497314453125,-76.5590972900390625,anonymous,EN,I wish to participate,,City 2,City 2,7,8,City 2,City 2,8,9,City 2,City 2,7,8,City 1,City 1,9,7,City 2,City 2,9,9,11,lobster,Very Interested,Female,49,Average,White,Been single for under 2 years,Master's degree,,"$60,000-$69,999",Neutral,Very Positive,Somewhat Negative,Strong Democrat,Somewhat Liberal,"Diversity, good green spaces, good cultural opportunities and things to do, good housing, mild temperatures and good job prospects. ",0,United States,"1,000,000","1,000,000",,,80% Republicans & 20% Democrats,20% Republicans & 80% Democrats,above national average,above national average,Sunny,Rainy,0-2.9 hour drive,3-5.9 hour drive,national average,below national average,"500,000","100,000",,,80% Republicans & 20% Democrats,80% Republicans & 20% Democrats,above national average,above national average,Cloudy,Sunny,3-5.9 hour drive,10+ hour drive,national average,below national average,"500,000","50,000",,,20% Republicans & 80% Democrats,50% Republicans & 50% Democrats,above national average,national average,Cloudy,Sunny,0-2.9 hour drive,3-5.9 hour drive,above national average,above national average,"100,000","100,000",,,20% Republicans & 80% Democrats,80% Republicans & 20% Democrats,national average,above national average,Snowy,Sunny,0-2.9 hour drive,3-5.9 hour drive,national average,above national average,"100,000","100,000",,,50% Republicans & 50% Democrats,50% Republicans & 50% Democrats,above national average,above national average,Cloudy,Snowy,6-9.9 hour drive,0-2.9 hour drive,below national average,national average,20089
2022-01-02 16:11:37,2022-01-02 16:19:16,IP Address,24.240.68.77,100,459,True,2022-01-02 16:19:16,R_27k5FVd0Up8a9hz,,,,,42.6240997314453125,-88.6266021728515625,anonymous,EN,I wish to participate,,City 1,City 2,1,1,City 1,City 2,1,1,City 2,City 2,1,1,City 2,City 2,1,1,City 2,City 1,1,1,11,lobster,Not Very Interested,Male,40,Average,White,Prefer not to say,Master's degree,,"$10,000-$19,999",Neutral,Neutral,Somewhat Negative,Strong Democrat,Liberal,,0,United States,"500,000","50,000",,,50% Republicans & 50% Democrats,20% Republicans & 80% Democrats,national average,above national average,Sunny,Rainy,3-5.9 hour drive,3-5.9 hour drive,national average,above national average,"500,000","100,000",,,50% Republicans & 50% Democrats,20% Republicans & 80% Democrats,below national average,above national average,Rainy,Sunny,10+ hour drive,0-2.9 hour drive,national average,above national average,"1,000,000","100,000",,,80% Republicans & 20% Democrats,50% Republicans & 50% Democrats,national average,national average,Cloudy,Sunny,3-5.9 hour drive,6-9.9 hour drive,above national average,below national average,"100,000","1,000,000",,,80% Republicans & 20% Democrats,50% Republicans & 50% Democrats,below national average,below national average,Cloudy,Sunny,0-2.9 hour drive,3-5.9 hour drive,above national average,below national average,"1,000,000","500,000",,,20% Republicans & 80% Democrats,80% Republicans & 20% Democrats,above national average,national average,Sunny,Sunny,3-5.9 hour drive,10+ hour drive,national average,national average,69977
2022-01-02 16:15:18,2022-01-02 16:19:35,IP Address,159.250.38.87,100,256,True,2022-01-02 16:19:35,R_1mfmhOl0JNy1xK9,,,,,39.885894775390625,-79.97570037841796875,anonymous,EN,I wish to participate,,City 1,City 1,0,0,City 2,City 2,0,0,City 2,City 2,0,0,City 2,City 2,0,0,City 2,City 2,0,0,11,lobster,Not At All Interested,Male,60,Somewhat Below Average,White,Been single for more than 2 years,Bachelor's degree,,"$0-$9,999",Positive,Negative,Negative,Lean Republican,Conservative,"less snow and crime then i currently get, which is some snow and practically no crime. no city can match that crimewise except maybe alaska but then there is the snow problem",0,United States,"100,000","500,000",,,50% Republicans & 50% Democrats,50% Republicans & 50% Democrats,national average,national average,Rainy,Snowy,10+ hour drive,6-9.9 hour drive,above national average,above national average,"1,000,000","500,000",,,80% Republicans & 20% Democrats,20% Republicans & 80% Democrats,below national average,above national average,Sunny,Snowy,6-9.9 hour drive,6-9.9 hour drive,below national average,above national average,"100,000","500,000",,,50% Republicans & 50% Democrats,80% Republicans & 20% Democrats,national average,above national average,Cloudy,Cloudy,6-9.9 hour drive,10+ hour drive,above national average,national average,"50,000","500,000",,,80% Republicans & 20% Democrats,80% Republicans & 20% Democrats,above national average,above national average,Cloudy,Rainy,3-5.9 hour drive,0-2.9 hour drive,below national average,below national average,"100,000","1,000,000",,,20% Republicans & 80% Democrats,80% Republicans & 20% Democrats,above national average,above national average,Sunny,Sunny,0-2.9 hour drive,0-2.9 hour drive,below national average,above national average,74672
2022-01-02 16:14:17,2022-01-02 16:21:56,IP Address,98.235.49.7,100,458,True,2022-01-02 16:21:56,R_2v2P5wImsxZcH9G,,,,,40.2743988037109375,-76.70619964599609375,anonymous,EN,I wish to participate,,City 1,City 1,3,2,City 1,City 1,4,3,City 1,City 1,4,3,City 1,City 1,5,3,City 2,City 2,3,6,11,lobster,Somewhat Interested,Male,49,Far Below Average,White,Been single for more than 2 years,High school diploma or equivalent,,"$20,000-$29,999",Neutral,Somewhat Positive,Negative,Strong Democrat,Liberal,"Climate, cost of living, travel time, stores and businesses that are around, crime rate",0,United States,"100,000","1,000,000",,,50% Republicans & 50% Democrats,80% Republicans & 20% Democrats,below national average,below national average,Rainy,Cloudy,0-2.9 hour drive,3-5.9 hour drive,above national average,above national average,"50,000","50,000",,,50% Republicans & 50% Democrats,50% Republicans & 50% Democrats,below national average,national average,Rainy,Cloudy,0-2.9 hour drive,10+ hour drive,below national average,above national average,"100,000","100,000",,,80% Republicans & 20% Democrats,80% Republicans & 20% Democrats,above national average,below national average,Rainy,Cloudy,6-9.9 hour drive,3-5.9 hour drive,below national average,above national average,"100,000","100,000",,,20% Republicans & 80% Democrats,80% Republicans & 20% Democrats,above national average,below national average,Rainy,Rainy,3-5.9 hour drive,3-5.9 hour drive,national average,national average,"500,000","500,000",,,80% Republicans & 20% Democrats,80% Republicans & 20% Democrats,above national average,above national average,Snowy,Cloudy,10+ hour drive,10+ hour drive,national average,national average,34599
2022-01-02 16:08:19,2022-01-02 16:23:49,IP Address,24.177.50.231,100,930,True,2022-01-02 16:23:50,R_2VD7tNVM5QPpC1J,,,,,41.9813995361328125,-71.83599853515625,anonymous,EN,I wish to participate,,City 1,City 1,7,5,City 1,City 1,7,5,City 1,City 1,5,5,City 2,City 2,5,5,City 2,City 2,5,5,11,lobster,Somewhat Interested,Female,32,Average,White,Married,Bachelor's degree,,"$80,000-$99,999",Neutral,Somewhat Negative,Somewhat Positive,Lean Republican,Somewhat Conservative,"Safety, Weather, Housing Prices",0,United States,"500,000","50,000",,,80% Republicans & 20% Democrats,80% Republicans & 20% Democrats,above national average,below national average,Sunny,Snowy,0-2.9 hour drive,10+ hour drive,below national average,above national average,"500,000","100,000",,,80% Republicans & 20% Democrats,80% Republicans & 20% Democrats,national average,national average,Sunny,Snowy,10+ hour drive,0-2.9 hour drive,above national average,above national average,"50,000","50,000",,,50% Republicans & 50% Democrats,50% Republicans & 50% Democrats,national average,above national average,Sunny,Sunny,0-2.9 hour drive,0-2.9 hour drive,above national average,below national average,"100,000","1,000,000",,,20% Republicans & 80% Democrats,50% Republicans & 50% Democrats,national average,below national average,Rainy,Rainy,6-9.9 hour drive,6-9.9 hour drive,below national average,below national average,"50,000","100,000",,,80% Republicans & 20% Democrats,80% Republicans & 20% Democrats,national average,above national average,Rainy,Snowy,6-9.9 hour drive,10+ hour drive,above national average,national average,67151
2022-01-02 16:23:10,2022-01-02 16:30:11,IP Address,24.143.86.84,100,421,True,2022-01-02 16:30:12,R_3sbSSZUGz8YA8Te,,,,,45.688201904296875,-121.9093017578125,anonymous,EN,I wish to participate,,City 2,City 2,2,3,City 1,City 2,1,2,City 2,City 2,1,3,City 1,City 1,3,1,City 2,City 1,3,2,11,lobster,Somewhat Interested,Male,28,Somewhat Below Average,White,Been single for more than 2 years,Some college but no degree,,"$30,000-$39,999",Positive,Positive,Very Negative,Independent/Other,Liberal,"Typical weather, size of the city, type of people who live in the city (political/religious), housing prices",0,United States,"500,000","500,000",,,20% Republicans & 80% Democrats,20% Republicans & 80% Democrats,above national average,below national average,Cloudy,Cloudy,0-2.9 hour drive,10+ hour drive,national average,below national average,"50,000","1,000,000",,,50% Republicans & 50% Democrats,80% Republicans & 20% Democrats,above national average,below national average,Rainy,Snowy,6-9.9 hour drive,3-5.9 hour drive,national average,above national average,"100,000","500,000",,,80% Republicans & 20% Democrats,20% Republicans & 80% Democrats,below national average,below national average,Rainy,Sunny,10+ hour drive,10+ hour drive,below national average,national average,"500,000","500,000",,,50% Republicans & 50% Democrats,80% Republicans & 20% Democrats,above national average,below national average,Cloudy,Sunny,10+ hour drive,0-2.9 hour drive,national average,above national average,"100,000","50,000",,,20% Republicans & 80% Democrats,50% Republicans & 50% Democrats,above national average,national average,Snowy,Cloudy,6-9.9 hour drive,3-5.9 hour drive,national average,below national average,23810
2022-01-02 16:23:54,2022-01-02 16:31:04,IP Address,73.160.14.40,100,430,True,2022-01-02 16:31:04,R_SV3ARg8Hz2yjYwV,,,,,40.5915985107421875,-74.317901611328125,anonymous,EN,I wish to participate,,City 2,City 2,2,5,City 1,City 1,2,1,City 2,City 2,2,6,City 1,City 2,2,3,City 1,City 1,6,5,11,lobster,Very Interested,Male,32,Somewhat Below Average,White,Been single for more than 2 years,Some college but no degree,,"$20,000-$29,999",Somewhat Positive,Somewhat Positive,Negative,Independent/Other,Very Liberal,"I think the crime rate is a big factor. I suppose the political breakdown is somewhat important too. Other than that, job prospects are important.",0,United States,"100,000","50,000",,,80% Republicans & 20% Democrats,50% Republicans & 50% Democrats,national average,above national average,Cloudy,Cloudy,0-2.9 hour drive,6-9.9 hour drive,above national average,national average,"50,000","1,000,000",,,80% Republicans & 20% Democrats,80% Republicans & 20% Democrats,below national average,national average,Cloudy,Snowy,0-2.9 hour drive,6-9.9 hour drive,above national average,national average,"100,000","100,000",,,80% Republicans & 20% Democrats,50% Republicans & 50% Democrats,national average,below national average,Sunny,Snowy,0-2.9 hour drive,10+ hour drive,below national average,below national average,"100,000","100,000",,,20% Republicans & 80% Democrats,20% Republicans & 80% Democrats,below national average,national average,Cloudy,Sunny,6-9.9 hour drive,10+ hour drive,above national average,above national average,"100,000","1,000,000",,,50% Republicans & 50% Democrats,50% Republicans & 50% Democrats,below national average,below national average,Rainy,Cloudy,3-5.9 hour drive,0-2.9 hour drive,national average,above national average,61199
2022-01-02 16:28:18,2022-01-02 16:33:02,IP Address,75.187.69.219,100,284,True,2022-01-02 16:33:02,R_3Gx3BLKMakAgY0w,,,,,39.5106964111328125,-84.74269866943359375,anonymous,EN,I wish to participate,,City 2,City 1,7,6,City 2,City 1,6,5,City 2,City 2,6,7,City 1,City 1,7,4,City 1,City 2,7,8,11,lobster,Not Very Interested,Female,34,Average,White,In a relationship,Bachelor's degree,,"$60,000-$69,999",Positive,Very Positive,Very Negative,Strong Democrat,Very Liberal,"Crime rate, liberal values, nearness to family, cost of living",0,United States,"500,000","100,000",,,20% Republicans & 80% Democrats,20% Republicans & 80% Democrats,above national average,above national average,Rainy,Sunny,3-5.9 hour drive,0-2.9 hour drive,above national average,below national average,"500,000","100,000",,,80% Republicans & 20% Democrats,80% Republicans & 20% Democrats,below national average,below national average,Sunny,Cloudy,10+ hour drive,0-2.9 hour drive,above national average,national average,"50,000","1,000,000",,,20% Republicans & 80% Democrats,50% Republicans & 50% Democrats,national average,national average,Snowy,Sunny,0-2.9 hour drive,10+ hour drive,above national average,below national average,"500,000","500,000",,,50% Republicans & 50% Democrats,80% Republicans & 20% Democrats,above national average,national average,Rainy,Sunny,6-9.9 hour drive,0-2.9 hour drive,national average,below national average,"500,000","1,000,000",,,20% Republicans & 80% Democrats,20% Republicans & 80% Democrats,below national average,below national average,Sunny,Snowy,0-2.9 hour drive,6-9.9 hour drive,national average,above national average,24424
2022-01-02 16:51:34,2022-01-02 16:58:32,IP Address,173.88.8.208,100,417,True,2022-01-02 16:58:32,R_DUJLmGYcexAFR5f,,,,,40.7415924072265625,-84.15219879150390625,anonymous,EN,I wish to participate,,City 1,City 2,3,8,City 2,City 1,8,1,City 2,City 1,8,1,City 1,City 1,7,2,City 2,City 2,3,6,11,lobster,Not At All Interested,Female,61,Below Average,White,Married,Master's degree,,"$10,000-$19,999",Neutral,Negative,Positive,Lean Republican,Conservative,"The weather is important because I like to spend my free time outside. If I was looking for a mate, the percentage of white people would matter because I want to date/marry someone of the same race. ",0,United States,"100,000","50,000",,,80% Republicans & 20% Democrats,20% Republicans & 80% Democrats,below national average,above national average,Sunny,Snowy,6-9.9 hour drive,3-5.9 hour drive,national average,above national average,"50,000","1,000,000",,,20% Republicans & 80% Democrats,20% Republicans & 80% Democrats,national average,above national average,Rainy,Sunny,3-5.9 hour drive,0-2.9 hour drive,below national average,national average,"500,000","100,000",,,80% Republicans & 20% Democrats,20% Republicans & 80% Democrats,above national average,national average,Cloudy,Sunny,10+ hour drive,10+ hour drive,above national average,national average,"500,000","1,000,000",,,50% Republicans & 50% Democrats,20% Republicans & 80% Democrats,national average,above national average,Cloudy,Cloudy,0-2.9 hour drive,0-2.9 hour drive,above national average,national average,"50,000","1,000,000",,,50% Republicans & 50% Democrats,80% Republicans & 20% Democrats,above national average,national average,Rainy,Rainy,10+ hour drive,0-2.9 hour drive,below national average,below national average,50647
2022-01-02 17:01:26,2022-01-02 17:10:38,IP Address,173.94.88.112,100,552,True,2022-01-02 17:10:39,R_12zKtovtXorzjbY,,,,,36.5001983642578125,-80.616302490234375,anonymous,EN,I wish to participate,,City 2,City 1,10,6,City 1,City 1,10,2,City 2,City 2,5,5,City 2,City 2,3,7,City 1,City 1,4,2,11,lobster,Very Interested,Female,41,Average,Black,Been single for under 1 year,Associate degree,,"$20,000-$29,999",Neutral,Positive,Very Negative,Strong Democrat,Very Liberal,"Mostly the weather conditions and distance from family/home town. I wouldn't want to be far away feeling trapped in cloudy/snowy conditions all of the time. ",0,United States,"50,000","100,000",,,50% Republicans & 50% Democrats,20% Republicans & 80% Democrats,below national average,national average,Snowy,Sunny,6-9.9 hour drive,0-2.9 hour drive,national average,national average,"500,000","100,000",,,80% Republicans & 20% Democrats,80% Republicans & 20% Democrats,national average,below national average,Snowy,Rainy,0-2.9 hour drive,6-9.9 hour drive,national average,national average,"50,000","100,000",,,20% Republicans & 80% Democrats,20% Republicans & 80% Democrats,below national average,below national average,Snowy,Cloudy,6-9.9 hour drive,10+ hour drive,national average,below national average,"50,000","1,000,000",,,80% Republicans & 20% Democrats,20% Republicans & 80% Democrats,national average,national average,Snowy,Cloudy,10+ hour drive,3-5.9 hour drive,national average,below national average,"100,000","500,000",,,20% Republicans & 80% Democrats,50% Republicans & 50% Democrats,national average,below national average,Sunny,Cloudy,3-5.9 hour drive,6-9.9 hour drive,above national average,national average,29561
2022-01-02 17:06:49,2022-01-02 17:10:42,IP Address,73.113.42.23,100,232,True,2022-01-02 17:10:42,R_28Z1JMEtHXFqMN5,,,,,36.0326995849609375,-83.807098388671875,anonymous,EN,I wish to participate,,City 2,City 2,5,7,City 2,City 1,6,5,City 2,City 2,5,7,City 2,City 2,5,7,City 1,City 1,8,5,11,lobster,Very Interested,Male,36,Average,White,Been single for under 1 year,Some college but no degree,,"$30,000-$39,999",Somewhat Positive,Somewhat Negative,Neutral,Lean Republican,Somewhat Conservative,A city with modern things,0,United States,"500,000","500,000",,,20% Republicans & 80% Democrats,20% Republicans & 80% Democrats,below national average,national average,Snowy,Snowy,6-9.9 hour drive,6-9.9 hour drive,national average,national average,"1,000,000","100,000",,,20% Republicans & 80% Democrats,80% Republicans & 20% Democrats,national average,national average,Rainy,Sunny,10+ hour drive,3-5.9 hour drive,national average,national average,"50,000","100,000",,,80% Republicans & 20% Democrats,50% Republicans & 50% Democrats,national average,below national average,Cloudy,Rainy,6-9.9 hour drive,6-9.9 hour drive,above national average,above national average,"50,000","500,000",,,20% Republicans & 80% Democrats,50% Republicans & 50% Democrats,below national average,below national average,Snowy,Sunny,6-9.9 hour drive,10+ hour drive,above national average,above national average,"500,000","100,000",,,50% Republicans & 50% Democrats,20% Republicans & 80% Democrats,below national average,national average,Sunny,Cloudy,10+ hour drive,6-9.9 hour drive,below national average,below national average,64205
2022-01-02 17:03:24,2022-01-02 17:13:07,IP Address,24.63.6.92,100,583,True,2022-01-02 17:13:08,R_2uxkKYHD5qivT2y,,,,,42.117706298828125,-72.644500732421875,anonymous,EN,I wish to participate,,City 2,City 1,8,6,City 1,City 1,9,5,City 1,City 1,6,4,City 1,City 1,6,5,City 2,City 1,6,6,11,lobster,Somewhat Interested,Female,60,Average,White,Been single for more than 2 years,Master's degree,,"$60,000-$69,999",Positive,Positive,Somewhat Negative,Strong Democrat,Liberal,"Safe, artsy, educated, clean, progressive, prosperous, houses with lots of land, able to navigate by bicycle/lots of bike paths for bike commuting, reliable town services, peaceful, giving.",0,United States,"500,000","50,000",,,50% Republicans & 50% Democrats,20% Republicans & 80% Democrats,above national average,national average,Rainy,Snowy,3-5.9 hour drive,10+ hour drive,below national average,below national average,"500,000","50,000",,,20% Republicans & 80% Democrats,20% Republicans & 80% Democrats,above national average,national average,Snowy,Snowy,6-9.9 hour drive,10+ hour drive,below national average,above national average,"500,000","500,000",,,50% Republicans & 50% Democrats,80% Republicans & 20% Democrats,national average,national average,Rainy,Cloudy,6-9.9 hour drive,0-2.9 hour drive,national average,below national average,"50,000","100,000",,,50% Republicans & 50% Democrats,20% Republicans & 80% Democrats,below national average,national average,Rainy,Cloudy,0-2.9 hour drive,0-2.9 hour drive,national average,national average,"100,000","50,000",,,20% Republicans & 80% Democrats,50% Republicans & 50% Democrats,above national average,above national average,Rainy,Cloudy,6-9.9 hour drive,6-9.9 hour drive,national average,below national average,10978
2022-01-02 17:16:41,2022-01-02 17:37:30,IP Address,72.182.198.99,100,1248,True,2022-01-02 17:37:30,R_SBIfOJZQVEC3kiZ,,,,,32.848907470703125,-96.96669769287109375,anonymous,EN,I wish to participate,,City 1,City 1,1,0,City 1,City 2,0,1,City 1,City 1,1,0,City 1,City 1,1,0,City 1,City 1,1,1,11,lobster,Very Interested,Female,50,Average,Black,Prefer not to say,Some college but no degree,,Prefer not to say,Neutral,Positive,Somewhat Negative,Strong Democrat,Very Liberal,"City size, housing prices, crime rate, quiet neighborhood, type of residents, rather or not the housing is prone to flooding, is it a red or blue city, the stores and businesses that are in the area.  ",0,United States,"500,000","500,000",,,50% Republicans & 50% Democrats,80% Republicans & 20% Democrats,below national average,above national average,Snowy,Rainy,10+ hour drive,0-2.9 hour drive,national average,above national average,"100,000","100,000",,,80% Republicans & 20% Democrats,80% Republicans & 20% Democrats,below national average,national average,Rainy,Sunny,6-9.9 hour drive,10+ hour drive,below national average,above national average,"1,000,000","1,000,000",,,50% Republicans & 50% Democrats,80% Republicans & 20% Democrats,national average,national average,Sunny,Snowy,6-9.9 hour drive,6-9.9 hour drive,above national average,below national average,"500,000","1,000,000",,,80% Republicans & 20% Democrats,80% Republicans & 20% Democrats,above national average,national average,Sunny,Rainy,10+ hour drive,6-9.9 hour drive,national average,below national average,"500,000","100,000",,,20% Republicans & 80% Democrats,80% Republicans & 20% Democrats,national average,below national average,Rainy,Sunny,10+ hour drive,10+ hour drive,above national average,national average,67004
