StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q1,Q5,1_Q9,2_Q9,3_Q9,4_Q9,5_Q9,6_Q9,7_Q9,8_Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q18_11_TEXT,Q19,Q20,Q21,Q22,Q23,Q24,Q26,IP_block,IP_country,choice1_salary1,choice1_salary2,choice1_race1,choice1_race2,choice1_party1,choice1_party2,choice1_personality1,choice1_personality2,choice1_attractive1,choice1_attractive2,choice1_education1,choice1_education2,choice1_interestpoli1,choice1_interestpoli2,choice1_religiosity1,choice1_religiosity2,choice2_salary1,choice2_salary2,choice2_race1,choice2_race2,choice2_party1,choice2_party2,choice2_personality1,choice2_personality2,choice2_attractive1,choice2_attractive2,choice2_education1,choice2_education2,choice2_interestpoli1,choice2_interestpoli2,choice2_religiosity1,choice2_religiosity2,choice3_salary1,choice3_salary2,choice3_race1,choice3_race2,choice3_party1,choice3_party2,choice3_personality1,choice3_personality2,choice3_attractive1,choice3_attractive2,choice3_education1,choice3_education2,choice3_interestpoli1,choice3_interestpoli2,choice3_religiosity1,choice3_religiosity2,choice4_salary1,choice4_salary2,choice4_race1,choice4_race2,choice4_party1,choice4_party2,choice4_personality1,choice4_personality2,choice4_attractive1,choice4_attractive2,choice4_education1,choice4_education2,choice4_interestpoli1,choice4_interestpoli2,choice4_religiosity1,choice4_religiosity2,choice5_salary1,choice5_salary2,choice5_race1,choice5_race2,choice5_party1,choice5_party2,choice5_personality1,choice5_personality2,choice5_attractive1,choice5_attractive2,choice5_education1,choice5_education2,choice5_interestpoli1,choice5_interestpoli2,choice5_religiosity1,choice5_religiosity2,choice6_salary1,choice6_salary2,choice6_race1,choice6_race2,choice6_party1,choice6_party2,choice6_personality1,choice6_personality2,choice6_attractive1,choice6_attractive2,choice6_education1,choice6_education2,choice6_interestpoli1,choice6_interestpoli2,choice6_religiosity1,choice6_religiosity2,choice7_salary1,choice7_salary2,choice7_race1,choice7_race2,choice7_party1,choice7_party2,choice7_personality1,choice7_personality2,choice7_attractive1,choice7_attractive2,choice7_education1,choice7_education2,choice7_interestpoli1,choice7_interestpoli2,choice7_religiosity1,choice7_religiosity2,choice8_salary1,choice8_salary2,choice8_race1,choice8_race2,choice8_party1,choice8_party2,choice8_personality1,choice8_personality2,choice8_attractive1,choice8_attractive2,choice8_education1,choice8_education2,choice8_interestpoli1,choice8_interestpoli2,choice8_religiosity1,choice8_religiosity2,Random_ID
2022-01-03 04:39:41,2022-01-03 04:45:56,IP Address,72.14.101.191,100,375,True,2022-01-03 04:45:56,R_2QgmAE8PwFJ7nVW,,,,,36.6089019775390625,-88.3031005859375,anonymous,EN,1,I wish to participate,,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 1,Person 1,9,Somewhat Interested,tardigrade,Male,40,White,Been single for more than 2 years,Not Religious,Bachelor’s degree,,"$10,000-$19,999",Neutral,Somewhat Positive,Negative,Lean Democrat,Liberal,"I mainly consider their personality traits, like intelligent, thoughtful, considerate, etc. I don't really consider their income or things like that.",0,United States,"$100,000","$50,000",Hispanic,Black,Republican,Republican,shy,shy,10/10,10/10,Bachelor's College Degree,Vocational Training,medium,low,non-religious,non-religious,"$100,000","$100,000",White,Hispanic,Republican,Republican,shy,out-going,10/10,8/10,Bachelor's College Degree,Graduate Degree,low,low,very religious,non-religious,"$75,000","$50,000",Black,White,Independent,Republican,shy,out-going,4/10,8/10,Graduate Degree,Vocational Training,medium,low,very religious,non-religious,"$75,000","$100,000",White,Black,Republican,Democrat,shy,out-going,4/10,10/10,Bachelor's College Degree,Vocational Training,medium,medium,somewhat religious,non-religious,"$75,000","$25,000",White,White,Republican,Democrat,out-going,shy,8/10,10/10,Some College,Graduate Degree,low,low,very religious,somewhat religious,"$100,000","$50,000",Asian,Asian,Republican,Independent,shy,shy,4/10,6/10,Some College,Some College,high,medium,somewhat religious,non-religious,"$50,000","$50,000",Asian,Black,Independent,Independent,out-going,out-going,4/10,6/10,Some College,Vocational Training,medium,medium,non-religious,very religious,"$75,000","$100,000",White,Hispanic,Independent,Republican,out-going,shy,8/10,8/10,Bachelor's College Degree,Bachelor's College Degree,low,low,non-religious,very religious,75958
2022-01-03 04:58:59,2022-01-03 05:02:04,IP Address,72.200.141.209,100,184,True,2022-01-03 05:02:04,R_2ZKdajBhIwLRk6a,,,,,41.960906982421875,-72.7957000732421875,anonymous,EN,1,I wish to participate,,Person 1,Person 2,Person 2,Person 2,Person 2,Person 1,Person 1,Person 1,9,Somewhat Interested,tardigrade,Male,41,White,In a relationship,Not Religious,Associate degree,,"$30,000-$39,999",Positive,Neutral,Neutral,Independent/Other,Moderate,The main thing that matters is that we get along well and have similar interests.,0,United States,"$100,000","$25,000",Asian,White,Democrat,Republican,out-going,out-going,8/10,6/10,Some College,Vocational Training,low,low,very religious,very religious,"$50,000","$100,000",Hispanic,Hispanic,Republican,Independent,shy,out-going,4/10,4/10,Some College,Bachelor's College Degree,high,medium,somewhat religious,very religious,"$100,000","$75,000",Black,Hispanic,Republican,Democrat,shy,shy,6/10,4/10,Some College,Bachelor's College Degree,high,high,very religious,very religious,"$50,000","$75,000",Asian,White,Democrat,Independent,shy,out-going,4/10,10/10,Some College,Vocational Training,low,low,very religious,non-religious,"$50,000","$25,000",Black,Asian,Democrat,Independent,shy,out-going,4/10,10/10,Some College,Bachelor's College Degree,high,low,very religious,somewhat religious,"$25,000","$75,000",Black,Asian,Independent,Democrat,out-going,out-going,8/10,6/10,Vocational Training,Graduate Degree,high,low,very religious,somewhat religious,"$75,000","$25,000",Black,White,Independent,Republican,out-going,out-going,8/10,4/10,Graduate Degree,Vocational Training,low,low,non-religious,very religious,"$50,000","$75,000",White,Asian,Independent,Democrat,out-going,shy,10/10,10/10,Graduate Degree,Graduate Degree,medium,high,non-religious,very religious,79863
2022-01-03 05:17:18,2022-01-03 05:23:47,IP Address,24.198.163.225,100,389,True,2022-01-03 05:23:47,R_2Cs7QKZJTFRTNkW,,,,,44.32330322265625,-69.76869964599609375,anonymous,EN,1,I wish to participate,,Person 1,Person 2,Person 1,Person 1,Person 2,Person 1,Person 2,Person 2,9,Somewhat Interested,tardigrade,Male,55,White,Married,Not Religious,High school diploma or equivalent,,"$70,000-$79,999",Positive,Neutral,Positive,Lean Republican,Conservative,"If I am looking for a long term relationship I would be looking for someone who is attractive and smart, someone who works or is not afraid to work. I would not mind their religion and I would respect that as long as they respect my beliefs. If the person is political so what",0,United States,"$25,000","$50,000",Asian,Asian,Independent,Republican,shy,shy,10/10,10/10,Bachelor's College Degree,Graduate Degree,medium,high,non-religious,non-religious,"$50,000","$100,000",White,Asian,Republican,Republican,shy,out-going,10/10,10/10,Vocational Training,Vocational Training,low,high,very religious,non-religious,"$100,000","$25,000",Asian,Hispanic,Democrat,Independent,out-going,shy,6/10,8/10,Bachelor's College Degree,Vocational Training,low,low,non-religious,somewhat religious,"$100,000","$25,000",Black,White,Independent,Republican,out-going,out-going,10/10,10/10,Vocational Training,Graduate Degree,medium,medium,non-religious,somewhat religious,"$75,000","$75,000",Black,Asian,Republican,Republican,out-going,shy,8/10,4/10,Vocational Training,Some College,medium,medium,somewhat religious,somewhat religious,"$50,000","$75,000",Asian,White,Democrat,Republican,shy,out-going,6/10,10/10,Graduate Degree,Graduate Degree,high,medium,somewhat religious,very religious,"$100,000","$25,000",Black,Asian,Independent,Republican,out-going,shy,4/10,10/10,Graduate Degree,Bachelor's College Degree,high,medium,very religious,somewhat religious,"$25,000","$75,000",Hispanic,White,Independent,Republican,out-going,out-going,10/10,4/10,Some College,Some College,low,high,very religious,very religious,32974
2022-01-03 05:30:25,2022-01-03 05:37:16,IP Address,71.81.227.245,100,410,True,2022-01-03 05:37:16,R_3gZrefeTCYkEbpe,,,,,34.792694091796875,-82.58390045166015625,anonymous,EN,1,I wish to participate,,Person 2,Person 2,Person 2,Person 2,Person 1,Person 1,Person 1,Person 1,9,Very Interested,tardigrade,Male,43,White,Married,Not Religious,Bachelor’s degree,,"$70,000-$79,999",Somewhat Negative,Somewhat Positive,Very Negative,Lean Democrat,Very Liberal,I think being attractive helps. An outgoing personality with a decent sense of humor. They have to be on the liberal persuasion for me,0,United States,"$25,000","$100,000",Hispanic,Black,Democrat,Independent,shy,out-going,10/10,4/10,Some College,Graduate Degree,low,high,somewhat religious,somewhat religious,"$50,000","$75,000",Hispanic,Black,Democrat,Republican,shy,out-going,8/10,4/10,Bachelor's College Degree,Some College,high,medium,very religious,somewhat religious,"$50,000","$50,000",Black,White,Republican,Republican,shy,out-going,4/10,6/10,Graduate Degree,Vocational Training,medium,medium,somewhat religious,non-religious,"$100,000","$25,000",Hispanic,Hispanic,Republican,Independent,shy,out-going,6/10,10/10,Vocational Training,Vocational Training,low,low,very religious,somewhat religious,"$75,000","$25,000",Black,White,Independent,Independent,shy,out-going,10/10,6/10,Vocational Training,Bachelor's College Degree,high,medium,somewhat religious,somewhat religious,"$75,000","$50,000",Hispanic,Hispanic,Republican,Democrat,out-going,shy,4/10,8/10,Some College,Vocational Training,high,low,non-religious,somewhat religious,"$25,000","$25,000",Hispanic,Hispanic,Independent,Independent,out-going,shy,4/10,6/10,Vocational Training,Vocational Training,high,medium,non-religious,non-religious,"$75,000","$25,000",Asian,Asian,Republican,Republican,out-going,shy,8/10,4/10,Bachelor's College Degree,Some College,low,low,non-religious,non-religious,21263
2022-01-03 05:55:36,2022-01-03 06:01:41,IP Address,47.39.131.26,100,364,True,2022-01-03 06:01:42,R_3R8aTtkonDIaG9l,,,,,32.4595947265625,-84.94860076904296875,anonymous,EN,1,I wish to participate,,Person 1,Person 2,Person 2,Person 2,Person 2,Person 1,Person 1,Person 1,9,Somewhat Interested,tardigrade,Female,31,Black,Been single for under 1 year,Somewhat Religious,Some college but no degree,,"$50,000-$59,999",Neutral,Very Positive,Very Negative,Strong Democrat,Very Liberal,"I would prefer for them to be the same race as me (black), not make less than 50k and be somewhat religious.",0,United States,"$75,000","$100,000",Black,White,Republican,Democrat,out-going,out-going,6/10,8/10,Some College,Vocational Training,low,low,somewhat religious,somewhat religious,"$25,000","$50,000",Asian,Asian,Democrat,Independent,out-going,out-going,8/10,4/10,Vocational Training,Some College,medium,low,somewhat religious,non-religious,"$75,000","$75,000",Hispanic,Black,Republican,Democrat,shy,shy,8/10,10/10,Some College,Bachelor's College Degree,low,high,non-religious,non-religious,"$25,000","$75,000",White,Hispanic,Independent,Republican,shy,out-going,8/10,4/10,Vocational Training,Bachelor's College Degree,medium,low,somewhat religious,somewhat religious,"$25,000","$75,000",Hispanic,Black,Independent,Democrat,shy,shy,6/10,8/10,Vocational Training,Bachelor's College Degree,high,medium,very religious,non-religious,"$100,000","$50,000",Hispanic,Hispanic,Independent,Republican,out-going,out-going,4/10,4/10,Some College,Vocational Training,high,high,non-religious,somewhat religious,"$75,000","$50,000",Black,Hispanic,Republican,Democrat,out-going,out-going,8/10,6/10,Bachelor's College Degree,Graduate Degree,medium,low,somewhat religious,very religious,"$100,000","$50,000",Black,Asian,Democrat,Independent,out-going,shy,8/10,6/10,Vocational Training,Some College,low,high,very religious,non-religious,54302
2022-01-03 06:52:28,2022-01-03 06:56:58,IP Address,66.176.72.219,100,269,True,2022-01-03 06:56:59,R_3et9Ky4Aqalot3Z,,,,,26.016204833984375,-80.19550323486328125,anonymous,EN,1,I wish to participate,,Person 2,Person 1,Person 1,Person 2,Person 1,Person 1,Person 1,Person 1,9,Very Interested,tardigrade,Male,29,"Black,Hispanic",Been single for more than 2 years,Not Religious,Bachelor’s degree,,"$60,000-$69,999",Neutral,Neutral,Neutral,Independent/Other,Moderate,Someone who looks good and is very open to trying new things. I want an outgoing and open minded individual.,0,United States,"$25,000","$75,000",Asian,Hispanic,Independent,Independent,out-going,shy,4/10,10/10,Some College,Bachelor's College Degree,high,medium,non-religious,somewhat religious,"$25,000","$50,000",White,Asian,Independent,Democrat,out-going,shy,10/10,4/10,Vocational Training,Bachelor's College Degree,medium,medium,very religious,non-religious,"$25,000","$75,000",White,White,Independent,Democrat,out-going,shy,4/10,4/10,Graduate Degree,Vocational Training,medium,high,somewhat religious,non-religious,"$50,000","$100,000",White,Asian,Democrat,Republican,shy,out-going,10/10,8/10,Bachelor's College Degree,Graduate Degree,high,high,very religious,non-religious,"$50,000","$25,000",Asian,White,Republican,Democrat,out-going,shy,8/10,8/10,Graduate Degree,Some College,medium,medium,non-religious,very religious,"$75,000","$75,000",Asian,Hispanic,Independent,Independent,shy,out-going,6/10,6/10,Bachelor's College Degree,Some College,low,high,non-religious,very religious,"$50,000","$75,000",Hispanic,Black,Republican,Republican,out-going,out-going,4/10,4/10,Some College,Graduate Degree,medium,high,very religious,very religious,"$100,000","$100,000",Black,Black,Republican,Republican,shy,out-going,8/10,4/10,Vocational Training,Some College,medium,low,very religious,very religious,32915
2022-01-03 06:58:56,2022-01-03 07:01:43,IP Address,23.120.207.234,100,166,True,2022-01-03 07:01:44,R_XM6zmJ6RSTNo5Rn,,,,,26.2729034423828125,-80.26000213623046875,anonymous,EN,1,I wish to participate,,Person 1,Person 1,Person 1,Person 2,Person 1,Person 2,Person 2,Person 1,9,Very Interested,tardigrade,Female,52,White,Married,Somewhat Religious,Bachelor’s degree,,"$10,000-$19,999",Somewhat Negative,Very Positive,Very Negative,Strong Democrat,Liberal,,0,United States,"$100,000","$50,000",Black,White,Republican,Republican,out-going,out-going,8/10,4/10,Graduate Degree,Graduate Degree,medium,high,non-religious,very religious,"$100,000","$100,000",White,Asian,Independent,Independent,shy,out-going,10/10,10/10,Some College,Some College,high,low,non-religious,somewhat religious,"$100,000","$75,000",Black,Hispanic,Independent,Republican,shy,shy,4/10,6/10,Graduate Degree,Vocational Training,medium,low,somewhat religious,somewhat religious,"$25,000","$100,000",Asian,Asian,Democrat,Democrat,out-going,shy,6/10,8/10,Graduate Degree,Vocational Training,low,medium,very religious,non-religious,"$75,000","$50,000",White,Black,Republican,Republican,shy,shy,6/10,4/10,Bachelor's College Degree,Some College,low,low,non-religious,non-religious,"$100,000","$75,000",Asian,Asian,Republican,Democrat,out-going,out-going,10/10,10/10,Bachelor's College Degree,Some College,high,high,non-religious,non-religious,"$50,000","$100,000",Hispanic,Asian,Republican,Republican,shy,out-going,10/10,4/10,Vocational Training,Vocational Training,high,high,somewhat religious,non-religious,"$75,000","$25,000",Hispanic,Asian,Independent,Republican,shy,shy,10/10,4/10,Some College,Vocational Training,medium,medium,non-religious,very religious,39309
2022-01-03 07:15:21,2022-01-03 07:21:39,IP Address,24.158.191.7,100,377,True,2022-01-03 07:21:40,R_2QXI99OPaMzffwZ,,,,,34.75689697265625,-84.7935028076171875,anonymous,EN,1,I wish to participate,,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 1,Person 2,9,Very Interested,tardigrade,Female,36,White,Married,Very Religious,Bachelor’s degree,,"$60,000-$69,999",Somewhat Positive,Negative,Very Positive,Strong Republican,Conservative,I think political and religious preferences are important because they shape a lot of basic values. Salary and attractiveness are slightly important as well as race.  I think outgoing vs shy can be subjective to situations.,0,United States,"$100,000","$50,000",White,Asian,Independent,Democrat,out-going,out-going,4/10,8/10,Graduate Degree,Graduate Degree,medium,low,somewhat religious,non-religious,"$100,000","$25,000",Asian,Black,Democrat,Democrat,shy,out-going,10/10,6/10,Some College,Some College,medium,medium,somewhat religious,non-religious,"$25,000","$50,000",Black,White,Independent,Republican,out-going,shy,4/10,10/10,Graduate Degree,Vocational Training,medium,low,very religious,non-religious,"$50,000","$25,000",Black,Black,Democrat,Republican,out-going,out-going,6/10,6/10,Vocational Training,Bachelor's College Degree,low,high,non-religious,non-religious,"$100,000","$100,000",Black,Asian,Republican,Republican,shy,out-going,6/10,4/10,Vocational Training,Graduate Degree,low,medium,very religious,very religious,"$100,000","$25,000",Black,Hispanic,Independent,Republican,out-going,out-going,6/10,6/10,Bachelor's College Degree,Some College,medium,low,non-religious,somewhat religious,"$75,000","$100,000",White,Hispanic,Independent,Independent,shy,out-going,10/10,6/10,Vocational Training,Graduate Degree,high,medium,very religious,very religious,"$100,000","$75,000",Black,Hispanic,Independent,Republican,shy,shy,10/10,10/10,Graduate Degree,Vocational Training,high,high,somewhat religious,very religious,18569
2022-01-03 07:23:07,2022-01-03 07:27:09,IP Address,76.115.45.184,100,242,True,2022-01-03 07:27:10,R_2cwNps1NBNJnaF2,,,,,44.6553955078125,-123.1349945068359375,anonymous,EN,1,I wish to participate,,Person 2,Person 1,Person 1,Person 2,Person 2,Person 1,Person 2,Person 1,9,Somewhat Interested,tardigrade,Male,35,White,In a relationship,Not Religious,Bachelor’s degree,,"$50,000-$59,999",Neutral,Somewhat Positive,Negative,Strong Democrat,Very Liberal,"I care about someone who is nice with a good personality, we get along well, have some similar interests and I find them atractive.",0,United States,"$100,000","$100,000",Black,Asian,Independent,Independent,shy,out-going,4/10,10/10,Vocational Training,Some College,low,high,non-religious,non-religious,"$50,000","$50,000",Asian,Asian,Independent,Independent,out-going,shy,8/10,4/10,Vocational Training,Bachelor's College Degree,medium,medium,very religious,very religious,"$25,000","$75,000",White,Black,Independent,Republican,out-going,out-going,10/10,10/10,Vocational Training,Vocational Training,medium,medium,somewhat religious,somewhat religious,"$50,000","$100,000",White,Asian,Democrat,Independent,shy,out-going,6/10,6/10,Graduate Degree,Bachelor's College Degree,medium,high,very religious,somewhat religious,"$50,000","$50,000",Asian,Hispanic,Republican,Democrat,out-going,shy,10/10,8/10,Graduate Degree,Graduate Degree,high,high,very religious,non-religious,"$75,000","$100,000",Black,Asian,Republican,Democrat,out-going,shy,6/10,4/10,Graduate Degree,Bachelor's College Degree,low,high,somewhat religious,very religious,"$75,000","$50,000",White,Asian,Democrat,Independent,shy,shy,8/10,10/10,Some College,Graduate Degree,high,low,very religious,non-religious,"$50,000","$100,000",Hispanic,Hispanic,Democrat,Independent,out-going,shy,6/10,4/10,Bachelor's College Degree,Graduate Degree,medium,medium,somewhat religious,non-religious,45403
2022-01-03 07:52:39,2022-01-03 08:13:58,IP Address,65.26.19.10,100,1279,True,2022-01-03 08:13:59,R_1gA7bfcCZ0lDCj4,,,,,38.9944000244140625,-94.67330169677734375,anonymous,EN,0.89999997615814208984375,I wish to participate,,Person 2,Person 1,Person 2,Person 2,Person 2,Person 2,Person 1,Person 2,9,Not Very Interested,tardigrade,Female,62,White,Married,Somewhat Religious,High school diploma or equivalent,,"$40,000-$49,999",Somewhat Positive,Neutral,Neutral,Independent/Other,Moderate,"honesty, humble, sincere, devoted, spiritual, loving, caring, helping.",0,United States,"$75,000","$75,000",Asian,Asian,Democrat,Independent,shy,shy,8/10,10/10,Some College,Graduate Degree,low,medium,somewhat religious,non-religious,"$75,000","$100,000",White,Hispanic,Independent,Democrat,out-going,out-going,10/10,8/10,Graduate Degree,Graduate Degree,low,high,non-religious,somewhat religious,"$25,000","$50,000",Hispanic,Asian,Independent,Republican,shy,shy,10/10,4/10,Bachelor's College Degree,Bachelor's College Degree,high,low,non-religious,very religious,"$100,000","$25,000",Black,White,Republican,Democrat,shy,shy,8/10,10/10,Graduate Degree,Bachelor's College Degree,high,low,non-religious,somewhat religious,"$25,000","$100,000",Hispanic,Asian,Republican,Republican,out-going,shy,6/10,4/10,Vocational Training,Vocational Training,medium,medium,somewhat religious,somewhat religious,"$100,000","$75,000",Black,White,Independent,Republican,shy,shy,8/10,8/10,Graduate Degree,Vocational Training,high,high,very religious,somewhat religious,"$50,000","$25,000",Hispanic,White,Democrat,Democrat,shy,shy,4/10,8/10,Graduate Degree,Bachelor's College Degree,low,high,very religious,somewhat religious,"$25,000","$50,000",Asian,Hispanic,Democrat,Independent,out-going,out-going,8/10,10/10,Bachelor's College Degree,Graduate Degree,high,high,non-religious,non-religious,56923
2022-01-03 08:07:44,2022-01-03 08:16:18,IP Address,47.185.96.64,100,514,True,2022-01-03 08:16:19,R_1Q6jffnSoJG6cfK,,,,,32.932098388671875,-97.2834014892578125,anonymous,EN,1,I wish to participate,,Person 2,Person 2,Person 2,Person 2,Person 1,Person 2,Person 1,Person 2,9,Somewhat Interested,tardigrade,Female,33,White,Married,Not Religious,Bachelor’s degree,,"$70,000-$79,999",Somewhat Positive,Positive,Negative,Lean Democrat,Somewhat Liberal,"We have to have some moral and ideological things in common. We have to want the same things in the future as far as housing and kids. We should have some interests that are aligned. It would be helpful to have similar political and religious views, but not necessary.",0,United States,"$50,000","$75,000",Asian,Black,Republican,Independent,out-going,shy,4/10,4/10,Graduate Degree,Bachelor's College Degree,high,high,non-religious,somewhat religious,"$75,000","$75,000",White,White,Democrat,Independent,shy,out-going,6/10,10/10,Some College,Some College,high,medium,non-religious,non-religious,"$75,000","$25,000",White,Black,Independent,Democrat,shy,out-going,10/10,10/10,Graduate Degree,Bachelor's College Degree,low,high,very religious,non-religious,"$25,000","$25,000",Black,White,Democrat,Republican,out-going,out-going,10/10,6/10,Bachelor's College Degree,Bachelor's College Degree,high,medium,somewhat religious,non-religious,"$75,000","$75,000",Black,White,Democrat,Democrat,shy,out-going,6/10,8/10,Some College,Some College,high,medium,very religious,non-religious,"$75,000","$100,000",Asian,Asian,Republican,Republican,shy,out-going,6/10,8/10,Bachelor's College Degree,Graduate Degree,low,low,very religious,somewhat religious,"$100,000","$100,000",Hispanic,White,Republican,Democrat,out-going,out-going,8/10,4/10,Some College,Graduate Degree,medium,high,somewhat religious,very religious,"$75,000","$100,000",Hispanic,White,Republican,Democrat,out-going,out-going,6/10,6/10,Vocational Training,Vocational Training,medium,medium,somewhat religious,non-religious,87790
2022-01-03 08:13:21,2022-01-03 08:20:14,IP Address,65.32.239.40,100,413,True,2022-01-03 08:20:15,R_1eVrhORKu0HJCJe,,,,,27.9611053466796875,-81.93979644775390625,anonymous,EN,1,I wish to participate,,Person 2,Person 1,Person 2,Person 2,Person 2,Person 2,Person 1,Person 2,9,Very Interested,tardigrade,Female,33,White,Been single for more than 2 years,Not Religious,Bachelor’s degree,,"$30,000-$39,999",Very Positive,Very Positive,Negative,Independent/Other,Somewhat Conservative,"personality, independence, maturity, race, career, children, smoke/drug free",0,United States,"$50,000","$75,000",Black,Asian,Democrat,Democrat,shy,out-going,6/10,8/10,Bachelor's College Degree,Graduate Degree,low,medium,very religious,non-religious,"$50,000","$75,000",Asian,Black,Republican,Independent,out-going,out-going,4/10,8/10,Bachelor's College Degree,Graduate Degree,medium,high,somewhat religious,somewhat religious,"$75,000","$100,000",Hispanic,White,Independent,Independent,shy,out-going,8/10,4/10,Vocational Training,Vocational Training,high,low,non-religious,very religious,"$50,000","$25,000",Asian,Asian,Democrat,Republican,shy,out-going,10/10,10/10,Bachelor's College Degree,Graduate Degree,high,low,somewhat religious,non-religious,"$75,000","$50,000",Black,Hispanic,Independent,Democrat,shy,shy,4/10,4/10,Graduate Degree,Bachelor's College Degree,low,high,very religious,non-religious,"$75,000","$50,000",Hispanic,White,Democrat,Republican,out-going,shy,6/10,10/10,Some College,Some College,high,medium,very religious,somewhat religious,"$50,000","$100,000",White,Asian,Independent,Republican,shy,shy,4/10,8/10,Vocational Training,Some College,high,high,somewhat religious,non-religious,"$100,000","$25,000",Black,White,Democrat,Democrat,shy,out-going,10/10,10/10,Vocational Training,Graduate Degree,low,low,somewhat religious,non-religious,45662
2022-01-03 08:24:21,2022-01-03 08:27:16,IP Address,141.126.132.106,100,174,True,2022-01-03 08:27:16,R_1cUseJ10A5WTIEn,,,,,43.1204986572265625,-89.35230255126953125,anonymous,EN,1,I wish to participate,,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,9,Very Interested,tardigrade,Male,58,White,Been single for more than 2 years,Not Religious,Less than high school diploma,,"$10,000-$19,999",Positive,Positive,Negative,Strong Democrat,Very Liberal,Attractiveness. Interest in politics,0,United States,"$75,000","$75,000",Asian,Asian,Independent,Independent,out-going,out-going,8/10,8/10,Graduate Degree,Bachelor's College Degree,high,low,non-religious,somewhat religious,"$75,000","$25,000",Black,White,Republican,Independent,shy,shy,6/10,4/10,Graduate Degree,Bachelor's College Degree,high,low,very religious,very religious,"$50,000","$25,000",White,Hispanic,Independent,Independent,shy,shy,6/10,4/10,Vocational Training,Bachelor's College Degree,high,medium,very religious,somewhat religious,"$75,000","$25,000",White,White,Democrat,Republican,out-going,shy,4/10,4/10,Vocational Training,Graduate Degree,medium,medium,very religious,very religious,"$100,000","$50,000",White,Asian,Republican,Independent,shy,out-going,10/10,8/10,Bachelor's College Degree,Graduate Degree,medium,low,somewhat religious,non-religious,"$75,000","$50,000",Black,Asian,Republican,Democrat,out-going,shy,8/10,6/10,Bachelor's College Degree,Some College,low,low,somewhat religious,non-religious,"$25,000","$100,000",Asian,Hispanic,Republican,Independent,out-going,shy,4/10,8/10,Vocational Training,Vocational Training,high,high,non-religious,non-religious,"$50,000","$50,000",White,White,Republican,Democrat,out-going,out-going,10/10,6/10,Vocational Training,Bachelor's College Degree,medium,medium,non-religious,somewhat religious,68635
2022-01-03 08:58:45,2022-01-03 09:04:10,IP Address,73.69.185.253,100,325,True,2022-01-03 09:04:11,R_3J28J1Im40XjeJK,,,,,41.4647064208984375,-72.6880035400390625,anonymous,EN,1,I wish to participate,,Person 2,Person 2,Person 1,Person 1,Person 2,Person 1,Person 1,Person 1,9,Not At All Interested,tardigrade,Female,40,Hispanic,Married,Not Religious,Associate degree,,"$40,000-$49,999",Somewhat Positive,Somewhat Negative,Somewhat Negative,Independent/Other,Moderate,"attraction, hygiene, humor, honesty",0,United States,"$25,000","$75,000",White,Asian,Republican,Republican,shy,shy,6/10,6/10,Some College,Bachelor's College Degree,high,medium,somewhat religious,somewhat religious,"$25,000","$100,000",Hispanic,Black,Democrat,Republican,shy,out-going,8/10,8/10,Vocational Training,Vocational Training,high,medium,very religious,very religious,"$75,000","$25,000",Asian,Asian,Republican,Independent,out-going,out-going,4/10,8/10,Vocational Training,Graduate Degree,medium,high,non-religious,somewhat religious,"$50,000","$75,000",Asian,Hispanic,Republican,Republican,shy,out-going,8/10,4/10,Vocational Training,Graduate Degree,low,low,non-religious,non-religious,"$100,000","$50,000",Hispanic,White,Republican,Independent,out-going,out-going,4/10,10/10,Some College,Some College,high,high,very religious,non-religious,"$100,000","$25,000",Asian,Asian,Independent,Democrat,shy,shy,6/10,4/10,Bachelor's College Degree,Bachelor's College Degree,low,low,somewhat religious,somewhat religious,"$75,000","$25,000",White,Black,Republican,Democrat,shy,out-going,4/10,6/10,Bachelor's College Degree,Vocational Training,low,low,non-religious,somewhat religious,"$75,000","$50,000",Asian,White,Democrat,Democrat,shy,out-going,8/10,4/10,Vocational Training,Bachelor's College Degree,medium,medium,very religious,non-religious,30315
